card_number,tier,rank,name,alignment,element,faction,hp,atk,rapid,charge,defense,move_1,move_2,move_3,move_4,move_5,move_6,move_7,move_8,move_9,flavor_text,construct_sprite,source_identities,color_pal
OME-0001,OMEGA,1,PhageNull TRINITY,Viral,Void,SYNTHETIC NETWORK,9262,897,98,98,638,DIVINE.ECLIPSE.CHARGE,DIVINE.ABYSS.STRIKE,DIVINE.ECLIPSE.CATALYST,DIVINE.ABYSS.STRIKE,DIVINE.NULL.CHARGE,DIVINE.ECLIPSE.CATALYST,DIVINE.ABYSS.BIND,DIVINE.NULL.WARD,DIVINE.ABYSS.CHARGE,[OMEGA] PhageNull TRINITY (Void) deployed from SYNTHETIC NETWORK. CSI=97.,,NyxGen,void
OME-0002,OMEGA,2,UnitRift TRINITY,Mechanical,Void,SYNTHETIC NETWORK,8298,807,90,116,733,DIVINE.UMBRAL.BIND,DIVINE.UMBRAL.SHIELD,DIVINE.UMBRAL.DRAIN,DIVINE.UMBRAL.RUSH,DIVINE.RIFT.CATALYST,DIVINE.UMBRAL.RUSH,DIVINE.NULL.RUSH,DIVINE.ABYSS.BIND,DIVINE.NULL.BIND,[OMEGA] UnitRift TRINITY (Void) deployed from SYNTHETIC NETWORK. CSI=91.,,NyxGen,void
ALP-0003,ALPHA,3,FrameEclipse ALPX,Mechanical,Void,VOID CULT,7877,694,77,98,643,Abyss Boost,Null Rush,Null Shield,Eclipse Boost,Abyss Ward,Abyss Boost,Rift Catalyst,Eclipse Boost,Null Shield,[ALPHA] FrameEclipse ALPX (Void) deployed from VOID CULT. CSI=87.,,NyxGen,void
ALP-0004,ALPHA,4,NodeRipple ALPX,Mechanical,Aqua,ABYSSAL CABAL,7380,706,84,78,557,Surge Ward,Tide Boost,Torrent Ward,Torrent Boost,Surge Bind,Ripple Rush,Torrent Shield,Surge Charge,Mist Rush,[ALPHA] NodeRipple ALPX (Aqua) deployed from ABYSSAL CABAL. CSI=93.,,NyxGen,aqua
BET-0005,BETA,5,SysEclipse BETX,Mechanical,Void,SYNTHETIC NETWORK,6838,514,63,81,542,Umbral Charge,Eclipse Charge,Null Ward,Null Charge,Abyss Shield,Null Bind,Null Shield,Eclipse Boost,Umbral Charge,[BETA] SysEclipse BETX (Void) deployed from SYNTHETIC NETWORK. CSI=80.,,NyxGen,void
BET-0006,BETA,6,WraithSurge BETX,Demonic,Aqua,VOID CULT,6246,477,68,74,419,Surge Charge,Torrent Charge,Surge Charge,Mist Catalyst,Surge Rush,Torrent Shield,Mist Catalyst,Mist Bind,Mist Charge,[BETA] WraithSurge BETX (Aqua) deployed from VOID CULT. CSI=80.,,NyxGen,aqua
GAM-0007,GAMMA,7,UnitTorrent GAMX,Mechanical,Aqua,CORRUPTED SECTOR,5445,461,55,63,335,Surge Rush,Tide Bind,Ripple Shield,Mist Strike,Tide Bind,Ripple Catalyst,Ripple Boost,Mist Shield,Ripple Strike,[GAMMA] UnitTorrent GAMX (Aqua) deployed from CORRUPTED SECTOR. CSI=68.,,NyxGen,aqua
GAM-0008,GAMMA,8,LumenUmbral GAMX,Angelic,Void,LUMINA SECT,4926,378,60,64,355,Eclipse Charge,Eclipse Shield,Null Ward,Null Catalyst,Umbral Rush,Eclipse Charge,Null Bind,Umbral Strike,Rift Boost,[GAMMA] LumenUmbral GAMX (Void) deployed from LUMINA SECT. CSI=75.,,NyxGen,void
DEL-0009,DELTA,9,FrameSurge DELX,Mechanical,Aqua,ASTRUM DIVISION,3789,354,44,48,314,Tide Boost,Surge Strike,Tide Drain,Mist Boost,Surge Boost,Surge Boost,Surge Boost,Mist Catalyst,Mist Shield,[DELTA] FrameSurge DELX (Aqua) deployed from ASTRUM DIVISION. CSI=70.,,NyxGen,aqua
DEL-0010,DELTA,10,CoreRift DELX,Mechanical,Void,LUMINA SECT,4020,281,47,53,350,Umbral Catalyst,Umbral Charge,Abyss Ward,Umbral Ward,Null Catalyst,Abyss Bind,Eclipse Strike,Rift Bind,Null Charge,[DELTA] CoreRift DELX (Void) deployed from LUMINA SECT. CSI=67.,,NyxGen,void
EPS-0011,EPSILON,11,InferBloom EPSX,Demonic,Wood,PHAGE CELL,2320,274,43,49,166,Bloom Shield,Vine Drain,Thorn Shield,Bloom Strike,Bark Rush,Vine Ward,Root Catalyst,Thorn Charge,Bloom Drain,[EPSILON] InferBloom EPSX (Wood) deployed from PHAGE CELL. CSI=57.,,NyxGen,wood
EPS-0012,EPSILON,12,SeraphVine EPSX,Angelic,Wood,GEAR SECT,3145,181,31,50,154,Thorn Ward,Thorn Catalyst,Root Catalyst,Bark Strike,Thorn Charge,Bark Shield,Bloom Catalyst,Thorn Drain,Vine Rush,[EPSILON] SeraphVine EPSX (Wood) deployed from GEAR SECT. CSI=56.,,NyxGen,wood
ZET-0013,ZETA,13,RotCinder ZETX,Viral,Fire,PROTOCOL DIVISION,1788,169,22,39,141,Ember Drain,Pyre Strike,Flare Rush,Flare Charge,Cinder Drain,Blaze Rush,Cinder Charge,Ember Rush,Ember Catalyst,[ZETA] RotCinder ZETX (Fire) deployed from PROTOCOL DIVISION. CSI=50.,,NyxGen,fire
ZET-0014,ZETA,14,CinderDraft ZETX,Demonic,Wind,ASTRUM DIVISION,1811,194,33,28,175,Zephyr Rush,Gale Rush,Squall Charge,Breeze Strike,Breeze Drain,Draft Shield,Zephyr Rush,Gale Rush,Squall Ward,[ZETA] CinderDraft ZETX (Wind) deployed from ASTRUM DIVISION. CSI=48.,,NyxGen,wind
ETA-0015,ETA,15,WraithNull ETAX,Demonic,Void,LUMINA SECT,1168,129,24,21,77,Abyss Bind,Rift Charge,Eclipse Drain,Rift Rush,Abyss Catalyst,Abyss Bind,Eclipse Ward,Umbral Drain,Umbral Charge,[ETA] WraithNull ETAX (Void) deployed from LUMINA SECT. CSI=40.,,NyxGen,void
